payment_id,subscription_id,customer_id,payment_date,amount
1,1,1.0,2025-05-11,29
2,1,1.0,2025-05-11,29
3,1,1.0,2025-05-11,29
4,1,1.0,2025-05-11,29
5,1,1.0,2025-05-11,29
6,1,1.0,2025-05-11,199.00
7,1,1.0,2025-05-11,79
8,1,1.0,2025-05-11,29.00
9,1,1.0,2025-05-11,29.00
10,1,1.0,2025-05-11,29
11,1,1.0,2025-05-11,29
12,1,1.0,2025-05-11,199.00
13,1,1.0,2025-05-11,79
14,1,1.0,2025-05-11,199.00
15,1,1.0,2025-05-11,79
16,1,1.0,2025-05-11,199.00
17,1,1.0,2025-05-11,29
18,2,2.0,2024-10-13,29
19,2,2.0,2024-10-13,199.00
20,2,2.0,2024-10-13,199.00
21,2,2.0,2024-10-13,79
22,2,2.0,2024-10-13,79
23,2,2.0,2024-10-13,199.00
24,2,2.0,2024-10-13,29
25,2,2.0,2024-10-13,29
26,2,2.0,2024-10-13,79
27,2,2.0,2024-10-13,199.00
28,2,2.0,2024-10-13,199.00
29,2,2.0,2024-10-13,29.00
30,2,2.0,2024-10-13,199.00
31,2,2.0,2024-10-13,79
32,2,2.0,2024-10-13,29.00
33,2,2.0,2024-10-13,29
34,3,3.0,2025-02-17,29
35,3,3.0,2025-02-17,79
36,3,3.0,2025-02-17,29
37,3,3.0,2025-02-17,79
38,3,3.0,2025-02-17,29
39,3,3.0,2025-02-17,-29
40,3,3.0,2025-02-17,199.00
41,3,3.0,2025-02-17,29.00
42,3,3.0,2025-02-17,199.00
43,3,3.0,2025-02-17,79
44,3,3.0,2025-02-17,29.00
45,3,3.0,2025-02-17,79
46,3,3.0,2025-02-17,-29
47,3,3.0,2025-02-17,29
48,3,3.0,2025-02-17,79
49,4,4.0,2026-05-20,199.00
50,4,4.0,2026-05-20,29
51,4,4.0,2026-05-20,29.00
52,4,4.0,2026-05-20,199.00
53,4,4.0,2026-05-20,199.00
54,4,4.0,2026-05-20,79
55,4,4.0,2026-05-20,29
56,4,,2026-05-20,29.00
57,5,5.0,2025-10-10,29
58,5,5.0,2025-10-10,29
59,5,5.0,2025-10-10,79
60,5,5.0,2025-10-10,79
61,5,5.0,2025-10-10,79
62,5,5.0,2025-10-10,29
63,5,5.0,2025-10-10,79
64,5,5.0,2025-10-10,199.00
65,5,5.0,2025-10-10,29
66,6,6.0,2026-03-21,29.00
67,6,6.0,2026-03-21,29.00
68,6,6.0,2026-03-21,29
69,6,6.0,2026-03-21,79
70,6,6.0,2026-03-21,79
71,6,6.0,2026-03-21,29.00
72,6,6.0,2026-03-21,29.00
73,6,6.0,2026-03-21,29.00
74,6,6.0,2026-03-21,29
75,7,7.0,2026-01-29,29.00
76,7,7.0,2026-01-29,79
77,7,7.0,2026-01-29,29
78,7,7.0,2026-01-29,79
79,7,7.0,2026-01-29,29
80,7,7.0,2026-01-29,29.00
81,7,7.0,2026-01-29,29.00
82,7,7.0,2026-01-29,79
83,8,8.0,2025-06-04,79
84,8,8.0,2025-06-04,29
85,8,8.0,2025-06-04,29.00
86,8,8.0,2025-06-04,199.00
87,8,8.0,2025-06-04,-29
88,8,8.0,2025-06-04,79
89,8,8.0,2025-06-04,29.00
90,8,8.0,2025-06-04,29
91,8,8.0,2025-06-04,29
92,8,8.0,2025-06-04,79
93,8,8.0,2025-06-04,199.00
94,8,8.0,2025-06-04,79
95,8,8.0,2025-06-04,29.00
96,8,8.0,2025-06-04,199.00
97,8,8.0,2025-06-04,79
98,8,8.0,2025-06-04,199.00
99,9,9.0,2024-09-14,199.00
100,9,9.0,2024-09-14,29
101,9,9.0,2024-09-14,29
102,9,,2024-09-14,199.00
103,9,9.0,2024-09-14,29
104,9,9.0,2024-09-14,29.00
105,9,9.0,2024-09-14,79
106,10,10.0,2024-12-29,29
107,10,10.0,2024-12-29,29.00
108,10,10.0,2024-12-29,79
109,10,10.0,2024-12-29,79
110,10,10.0,2024-12-29,29.00
111,10,10.0,2024-12-29,29.00
112,10,10.0,2024-12-29,199.00
113,10,10.0,2024-12-29,79
114,10,10.0,2024-12-29,29.00
115,10,10.0,2024-12-29,29
116,10,10.0,2024-12-29,79
117,10,10.0,2024-12-29,79
118,10,10.0,2024-12-29,29.00
119,10,10.0,2024-12-29,79
120,10,10.0,2024-12-29,29
121,10,10.0,2024-12-29,199.00
122,10,10.0,2024-12-29,29
123,10,10.0,2024-12-29,29.00
124,11,11.0,2025-04-05,199.00
125,11,11.0,2025-04-05,79
126,11,11.0,2025-04-05,29.00
127,11,11.0,2025-04-05,29
128,11,11.0,2025-04-05,199.00
129,11,11.0,2025-04-05,199.00
130,11,11.0,2025-04-05,199.00
131,11,11.0,2025-04-05,199.00
132,11,11.0,2025-04-05,29
133,11,11.0,2025-04-05,29
134,11,11.0,2025-04-05,29.00
135,12,12.0,2026-02-17,79
136,12,12.0,2026-02-17,29
137,12,12.0,2026-02-17,79
138,12,12.0,2026-02-17,79
139,12,12.0,2026-02-17,79
140,12,12.0,2026-02-17,199.00
141,12,12.0,2026-02-17,79
142,12,12.0,2026-02-17,29
143,12,12.0,2026-02-17,199.00
144,12,12.0,2026-02-17,-29
145,12,12.0,2026-02-17,79
146,12,12.0,2026-02-17,79
147,12,12.0,2026-02-17,29.00
148,12,12.0,2026-02-17,79
149,12,12.0,2026-02-17,29
150,13,13.0,2026-05-16,199.00
151,13,13.0,2026-05-16,29.00
152,13,13.0,2026-05-16,29.00
153,13,13.0,2026-05-16,79
154,13,13.0,2026-05-16,79
155,13,13.0,2026-05-16,79
156,13,13.0,2026-05-16,79
157,13,13.0,2026-05-16,79
158,14,14.0,2025-01-16,79
159,14,14.0,2025-01-16,79
160,14,14.0,2025-01-16,29
161,14,14.0,2025-01-16,29
162,14,14.0,2025-01-16,199.00
163,14,14.0,2025-01-16,79
164,14,14.0,2025-01-16,79
165,14,14.0,2025-01-16,79
166,14,14.0,2025-01-16,-29
167,14,,2025-01-16,79
168,14,14.0,2025-01-16,29
169,14,14.0,2025-01-16,79
170,14,14.0,2025-01-16,79
171,14,14.0,2025-01-16,29
172,14,14.0,2025-01-16,29
173,14,14.0,2025-01-16,199.00
174,14,14.0,2025-01-16,29.00
175,14,14.0,2025-01-16,79
176,15,15.0,2025-04-23,79
177,15,15.0,2025-04-23,29
178,15,15.0,2025-04-23,79
179,15,15.0,2025-04-23,79
180,15,15.0,2025-04-23,29
181,15,15.0,2025-04-23,29
182,15,15.0,2025-04-23,199.00
183,15,15.0,2025-04-23,29.00
184,16,16.0,2025-04-13,199.00
185,16,16.0,2025-04-13,79
186,16,16.0,2025-04-13,29.00
187,16,16.0,2025-04-13,199.00
188,16,16.0,2025-04-13,29
189,16,16.0,2025-04-13,29
190,16,16.0,2025-04-13,79
191,16,16.0,2025-04-13,29
192,16,16.0,2025-04-13,29.00
193,16,16.0,2025-04-13,199.00
194,16,16.0,2025-04-13,79
195,16,16.0,2025-04-13,79
196,16,16.0,2025-04-13,199.00
197,17,17.0,2026-02-13,29
198,17,17.0,2026-02-13,199.00
199,17,17.0,2026-02-13,79
200,17,17.0,2026-02-13,79
201,17,17.0,2026-02-13,199.00
202,17,17.0,2026-02-13,29.00
203,17,17.0,2026-02-13,79
204,17,17.0,2026-02-13,79
205,17,17.0,2026-02-13,79
206,17,17.0,2026-02-13,29.00
207,17,17.0,2026-02-13,29
208,17,17.0,2026-02-13,29
209,18,18.0,2026-02-23,79
210,18,18.0,2026-02-23,199.00
211,18,18.0,2026-02-23,79
212,18,18.0,2026-02-23,29.00
213,18,18.0,2026-02-23,199.00
214,18,18.0,2026-02-23,79
215,18,18.0,2026-02-23,79
216,18,18.0,2026-02-23,29
217,18,18.0,2026-02-23,199.00
218,18,18.0,2026-02-23,79
219,18,18.0,2026-02-23,29.00
220,18,18.0,2026-02-23,199.00
221,18,18.0,2026-02-23,79
222,18,18.0,2026-02-23,29.00
223,18,18.0,2026-02-23,-29
224,18,18.0,2026-02-23,29
225,18,18.0,2026-02-23,29
226,19,19.0,2025-12-31,79
227,19,19.0,2025-12-31,29
228,19,19.0,2025-12-31,79
229,19,19.0,2025-12-31,79
230,19,19.0,2025-12-31,29
231,19,19.0,2025-12-31,29
232,20,20.0,2025-08-16,79
233,20,20.0,2025-08-16,29
234,20,20.0,2025-08-16,29
235,20,20.0,2025-08-16,199.00
236,20,20.0,2025-08-16,199.00
237,20,20.0,2025-08-16,29.00
238,20,20.0,2025-08-16,-29
239,20,20.0,2025-08-16,79
240,20,20.0,2025-08-16,29
241,20,20.0,2025-08-16,79
242,20,20.0,2025-08-16,29
243,20,20.0,2025-08-16,199.00
244,20,20.0,2025-08-16,29
245,20,20.0,2025-08-16,29
246,20,20.0,2025-08-16,29.00
247,20,20.0,2025-08-16,79
248,20,20.0,2025-08-16,79
249,20,20.0,2025-08-16,29
250,21,21.0,2026-01-15,199.00
251,21,21.0,2026-01-15,29
252,21,21.0,2026-01-15,79
253,21,21.0,2026-01-15,199.00
254,21,21.0,2026-01-15,29.00
255,21,21.0,2026-01-15,29
256,21,21.0,2026-01-15,199.00
257,21,21.0,2026-01-15,79
258,21,21.0,2026-01-15,199.00
259,21,21.0,2026-01-15,79
260,21,21.0,2026-01-15,79
261,21,21.0,2026-01-15,79
262,22,22.0,2025-07-13,79
263,22,22.0,2025-07-13,79
264,22,22.0,2025-07-13,199.00
265,22,22.0,2025-07-13,29
266,22,22.0,2025-07-13,79
267,22,22.0,2025-07-13,29
268,22,22.0,2025-07-13,29.00
269,22,22.0,2025-07-13,29
270,22,22.0,2025-07-13,29
271,22,22.0,2025-07-13,29.00
272,22,22.0,2025-07-13,79
273,22,22.0,2025-07-13,79
274,22,22.0,2025-07-13,79
275,22,22.0,2025-07-13,79
276,22,22.0,2025-07-13,29
277,22,22.0,2025-07-13,79
278,23,23.0,2025-09-09,29
279,23,23.0,2025-09-09,199.00
280,23,23.0,2025-09-09,79
281,23,23.0,2025-09-09,79
282,23,23.0,2025-09-09,29.00
283,23,23.0,2025-09-09,79
284,23,23.0,2025-09-09,29
285,23,23.0,2025-09-09,79
286,23,23.0,2025-09-09,199.00
287,23,23.0,2025-09-09,29
288,23,23.0,2025-09-09,29
289,23,23.0,2025-09-09,79
290,23,23.0,2025-09-09,29
291,23,23.0,2025-09-09,199.00
292,23,23.0,2025-09-09,29
293,23,23.0,2025-09-09,199.00
294,23,23.0,2025-09-09,199.00
295,24,24.0,2025-08-22,29
296,24,24.0,2025-08-22,199.00
297,24,24.0,2025-08-22,199.00
298,24,24.0,2025-08-22,199.00
299,24,24.0,2025-08-22,29.00
300,24,24.0,2025-08-22,29
301,24,24.0,2025-08-22,29
302,24,24.0,2025-08-22,79
303,24,24.0,2025-08-22,29.00
304,24,24.0,2025-08-22,79
305,24,24.0,2025-08-22,79
306,24,24.0,2025-08-22,29
307,24,24.0,2025-08-22,79
308,24,24.0,2025-08-22,29.00
309,25,25.0,2024-12-25,29
310,25,25.0,2024-12-25,79
311,25,25.0,2024-12-25,79
312,25,25.0,2024-12-25,199.00
313,25,,2024-12-25,199.00
314,25,25.0,2024-12-25,199.00
315,25,25.0,2024-12-25,79
316,25,25.0,2024-12-25,29
317,25,25.0,2024-12-25,29
318,25,25.0,2024-12-25,29
319,25,25.0,2024-12-25,199.00
320,25,25.0,2024-12-25,29
321,25,25.0,2024-12-25,29
322,25,25.0,2024-12-25,29
323,25,25.0,2024-12-25,29
324,25,25.0,2024-12-25,29.00
325,25,25.0,2024-12-25,29
326,26,26.0,2025-11-12,29
327,26,26.0,2025-11-12,29
328,26,26.0,2025-11-12,29.00
329,26,26.0,2025-11-12,79
330,26,26.0,2025-11-12,29
331,26,26.0,2025-11-12,29
332,26,26.0,2025-11-12,199.00
333,26,26.0,2025-11-12,79
334,26,26.0,2025-11-12,29
335,26,26.0,2025-11-12,79
336,26,26.0,2025-11-12,79
337,26,26.0,2025-11-12,79
338,26,26.0,2025-11-12,79
339,27,27.0,2025-07-15,29
340,27,27.0,2025-07-15,79
341,27,27.0,2025-07-15,199.00
342,27,27.0,2025-07-15,79
343,27,27.0,2025-07-15,79
344,27,27.0,2025-07-15,79
345,27,27.0,2025-07-15,29
346,28,28.0,2025-03-21,199.00
347,28,28.0,2025-03-21,199.00
348,28,28.0,2025-03-21,29.00
349,28,28.0,2025-03-21,79
350,28,28.0,2025-03-21,199.00
351,28,28.0,2025-03-21,29
352,28,28.0,2025-03-21,79
353,29,29.0,2025-11-10,29
354,29,29.0,2025-11-10,-29
355,29,29.0,2025-11-10,29.00
356,29,29.0,2025-11-10,29.00
357,29,29.0,2025-11-10,-29
358,29,,2025-11-10,29.00
359,29,29.0,2025-11-10,29
360,29,29.0,2025-11-10,79
361,29,29.0,2025-11-10,79
362,30,30.0,2024-10-18,29
363,30,30.0,2024-10-18,199.00
364,30,30.0,2024-10-18,29
365,30,30.0,2024-10-18,79
366,30,30.0,2024-10-18,199.00
367,30,30.0,2024-10-18,29
368,30,30.0,2024-10-18,29.00
369,30,30.0,2024-10-18,79
370,30,30.0,2024-10-18,79
371,30,30.0,2024-10-18,79
372,30,30.0,2024-10-18,29
373,30,30.0,2024-10-18,79
374,30,30.0,2024-10-18,79
375,30,30.0,2024-10-18,79
376,30,30.0,2024-10-18,29
377,31,31.0,2024-08-18,29
378,31,31.0,2024-08-18,29
379,31,31.0,2024-08-18,29.00
380,31,31.0,2024-08-18,79
381,31,31.0,2024-08-18,79
382,31,31.0,2024-08-18,79
383,31,31.0,2024-08-18,29
384,32,32.0,2025-04-11,199.00
385,32,32.0,2025-04-11,29
386,32,32.0,2025-04-11,29
387,32,32.0,2025-04-11,79
388,32,32.0,2025-04-11,79
389,32,32.0,2025-04-11,79
390,32,32.0,2025-04-11,-29
391,32,32.0,2025-04-11,29
392,33,33.0,2026-04-28,29.00
393,33,33.0,2026-04-28,29
394,33,33.0,2026-04-28,79
395,33,33.0,2026-04-28,29
