subscription_id,customer_id,plan,status,start_date,end_date
1,1,Basic,active,2025-05-11,
2,2,BASIC,Canceled,2024-10-13,2026-03-26
3,3,Enterprise,Canceled,2025-02-17,2026-03-05
4,4,Basic,ACTIVE,2026-05-20,
5,5,Enterprise,active,2025-10-10,
6,6,Basic,ACTIVE,2026-03-21,
7,7,Pro,Canceled,2026-01-29,2025-10-19
8,8,Basic,Canceled,2025-06-04,2024-06-11
9,9,BASIC,active,2024-09-14,
10,10,BASIC,cancelled,2024-12-29,2025-08-28
11,11,Basic,Canceled,2025-04-05,2025-08-30
12,12,Enterprise,ACTIVE,2026-02-17,
13,13,Pro,ACTIVE,2026-05-16,
14,14,Enterprise,cancelled,2025-01-16,2025-09-19
15,15,Enterprise,Canceled,2025-04-23,2025-11-18
16,16,basic,ACTIVE,2025-04-13,
17,17,Pro,active,2026-02-13,
18,18,Basic,ACTIVE,2026-02-23,
19,19,Pro,active,2025-12-31,
20,20,Pro,ACTIVE,2025-08-16,
21,21,PRO,active,2026-01-15,
22,22,Pro,active,2025-07-13,
23,23,Basic,cancelled,2025-09-09,2025-07-01
24,24,Enterprise,Canceled,2025-08-22,2024-06-11
25,25,BASIC,Canceled,2024-12-25,2025-01-17
26,26,basic,cancelled,2025-11-12,2025-12-05
27,27,BASIC,Canceled,2025-07-15,2025-08-29
28,28,basic,cancelled,2025-03-21,2024-11-28
29,29,basic,ACTIVE,2025-11-10,
30,30,Pro,ACTIVE,2024-10-18,
31,31,basic,Canceled,2024-08-18,2025-01-23
32,32,PRO,ACTIVE,2025-04-11,
33,33,basic,Canceled,2026-04-28,2024-06-06
34,34,Pro,Canceled,2024-08-20,2025-06-15
35,35,Pro,Canceled,2026-03-24,2025-01-09
36,36,BASIC,ACTIVE,2024-10-31,
37,37,BASIC,active,2025-12-03,
38,38,Pro,ACTIVE,2024-10-06,
39,39,Enterprise,active,2025-01-18,
40,40,BASIC,Canceled,2025-12-29,2025-01-31
41,41,Pro,Canceled,2025-02-06,2024-10-30
42,42,Basic,cancelled,2026-01-26,2026-05-24
43,43,Pro,cancelled,2025-10-28,2025-04-12
44,44,BASIC,active,2025-12-15,
45,45,Basic,ACTIVE,2024-06-23,
46,46,PRO,ACTIVE,2026-05-22,
47,47,PRO,cancelled,2026-04-13,2024-09-11
48,48,PRO,Canceled,2025-04-23,2024-07-18
49,49,Enterprise,cancelled,2024-08-24,2025-01-09
50,50,Enterprise,active,2025-03-25,
51,51,PRO,Canceled,2024-09-19,2025-04-06
52,52,BASIC,Canceled,2025-10-17,2025-01-04
53,53,BASIC,cancelled,2025-12-26,2025-10-15
54,54,BASIC,active,2024-11-02,
55,55,BASIC,Canceled,2025-08-08,2024-07-15
56,56,Basic,cancelled,2025-01-03,2025-06-27
57,57,Basic,Canceled,2024-07-19,2025-09-09
58,58,basic,Canceled,2024-10-05,2025-04-06
59,59,basic,cancelled,2024-09-25,2024-12-12
60,60,basic,ACTIVE,2025-04-21,
61,61,Pro,ACTIVE,2025-05-12,
62,62,PRO,ACTIVE,2026-01-26,
63,63,Enterprise,active,2025-04-25,
64,64,PRO,Canceled,2026-01-09,2025-02-08
65,65,BASIC,Canceled,2025-01-15,2025-07-19
66,66,PRO,ACTIVE,2025-01-30,
67,67,Enterprise,Canceled,2024-06-13,2026-01-14
68,68,basic,Canceled,2024-12-25,2025-04-09
69,69,Enterprise,active,2025-07-17,
70,70,Basic,cancelled,2025-04-15,2026-04-06
71,71,Pro,Canceled,2026-05-11,2026-04-29
72,72,PRO,active,2025-10-28,
73,73,Pro,Canceled,2024-06-28,2024-12-22
74,74,basic,ACTIVE,2024-10-14,
75,75,Enterprise,ACTIVE,2025-10-21,
76,76,BASIC,cancelled,2026-01-20,2026-02-20
77,77,basic,cancelled,2025-05-16,2025-11-26
78,78,Enterprise,ACTIVE,2025-11-25,
79,79,Enterprise,active,2025-04-16,
80,80,Pro,active,2024-09-23,
81,81,Basic,active,2025-06-02,
82,82,basic,active,2025-12-06,
83,83,BASIC,ACTIVE,2025-01-15,
84,84,Basic,active,2024-10-14,
85,85,Basic,ACTIVE,2024-10-14,
86,86,basic,ACTIVE,2024-09-18,
87,87,BASIC,active,2026-04-29,
88,88,BASIC,ACTIVE,2025-04-16,
89,89,PRO,ACTIVE,2025-04-20,
90,90,Pro,cancelled,2025-08-11,2025-04-10
91,91,PRO,Canceled,2025-08-06,2025-07-14
92,92,Basic,Canceled,2025-02-11,2024-08-03
93,93,basic,active,2025-07-03,
94,94,Basic,ACTIVE,2025-07-01,
95,95,Enterprise,cancelled,2025-10-21,2025-08-22
96,96,Enterprise,active,2026-03-22,
97,97,Enterprise,Canceled,2025-02-20,2025-02-07
98,98,basic,cancelled,2026-04-28,2025-05-15
99,99,BASIC,active,2025-11-13,
100,100,Enterprise,Canceled,2026-04-21,2024-10-09
100,100,Enterprise,Canceled,2026-04-21,2024-10-09
101,101,basic,cancelled,2026-01-08,2024-12-02
102,102,Pro,Canceled,2025-05-01,2025-04-23
103,103,Enterprise,Canceled,2025-02-09,2025-05-17
104,104,BASIC,active,2024-09-24,
105,105,Enterprise,Canceled,2026-05-14,2025-10-15
106,106,Enterprise,active,2025-06-08,
107,107,PRO,cancelled,2025-01-22,2025-07-02
108,108,Pro,ACTIVE,2025-06-10,
109,109,BASIC,cancelled,2025-10-21,2024-07-03
110,110,basic,active,2025-02-01,
111,111,Pro,ACTIVE,2024-11-04,
112,112,Enterprise,active,2026-02-05,
113,113,Pro,Canceled,2025-02-10,2025-06-17
114,114,PRO,active,2024-06-15,
115,115,PRO,ACTIVE,2025-10-22,
116,116,basic,ACTIVE,2024-10-24,
117,117,basic,cancelled,2025-12-21,2024-08-13
